 smile id
72 CC1=CC=CC=C1N1CCN(CC1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37483
73 OCC1CN(C2=NC(N[C@H]3C[C@@H]3C3=CC=CC=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37627
74 OCC1CN(C2=NC(NCC3=CC=CC(Br)=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37568
75 CCCCN(CCO)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37491
76 OCC1CN(C2=NC(NCC3=C(Cl)C=CC=C3OC3=CC=CC=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37588
77 CN(CCC(O)C1=CC=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N(C)CC1=CC=CO1 L53847
78 CC1=C(CCNC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)C=CC=C1 L37473
79 C[C@H](NC1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12)C1=CC=CC2=C1C=CC=C2 L37494
80 C[C@@H](CNC1=NC(=NC(NCCC2=CNC3=C2C=C(C)C=C3)=N1)N1CC(CO)OC2=CC=CC=C12)C(O)=O L74335
81 OCC1CN(C2=NC(NCC3=CC=C(Br)C=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37567
82 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(=NC(NCC2=CC=CC(OC(F)(F)F)=C2)=N1)N1CCC(CCCC(O)=O)CC1 L30400
83 NNC1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37630
84 OCC1CN(C2=NC(NCCC3=CNC4=C3C=C(Cl)C=C4)=NC(=N2)N2CCC(CCCC(O)=O)CC2)C2=CC=CC=C2O1 L748
85 CC1=C(CNC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)C=CC=C1 L37477
86 OC(=O)CCCC1CCN(CC1)C1=NC(NCC2=CC=C(C(F)=C2)C(F)(F)F)=NC(NCCC2=CNC3=C2C=C(Br)C=C3)=N1 L29163
87 CC1=C(CNC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)C(Cl)=CC=C1 L37476
88 CN(CC1=CC(Cl)=CC=C1)C1=NC(=NC(NC2=CC=CC=N2=O)=N1)N1CCC(CCCC(O)=O)CC1 L3522
89 CCCCN(C)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37490
90 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(NC2=CC(=C(C)C=C2)N(=O)=O)=N1 L43264
91 CN(CC1=CC=NC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37516
92 OCC1CN(C2=NC(N[C@H]3CCCC[C@@H]3OCC3=CC=CC=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37501
93 CC1=CC=CC=C1N1CCN(CC1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N1CCC(O)(CC1)C1=CC=C(Cl)C=C1 L43199
94 CCCCN(CCCC)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CCC(O)C1=CC=CC=C1 L47703
95 CC1(C)OC[C@H](CNC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)O1 L37488
96 COC1=CC(CN(C)C2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)=CC(OC)=C1OC L37515
97 C[C@@H](CNC1=NC(=NC(=N1)N(C)CC1=CC=CC2=C1C=CC=C2)N1CC(CO)OC2=CC=CC=C12)C(O)=O L74368
98 CCCCN(CC)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N1CCC(CC1)C1=NOC2=C1C=C(F)C=C2 L47046
99 CC1=C(CNC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)C=CC(Cl)=C1 L37456
100 CC(NC1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2)C(O)C1=CC=CC=C1 L52288
101 COC1=C(OC)C(CCNC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)=CC=C1 L37534
102 CCN(CC(C)=C)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L51520
103 OCC1CN(C2=NC(NCCSCC3=CC=CC=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37623
104 COC1=CC=CC(CNC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)=C1OC L37544
105 NC1=CC=C(NC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)C=C1 L37561
106 OCC1CN(C2=NC(NCCC3=CC=CC(Cl)=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37598
107 C[C@@H](NC1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2)C1=CC=C(Br)C=C1 L52480
108 CN(CC1=CC(Cl)=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CCN(CC1)C1=CC=CC=C1C L43074
